ID,Distance_to_Coast_km,Region
US1NJBT0010,100.00337603169802,Rural
US1NJBT0011,99.00433570720733,Rural
US1NJBT0018,118.22360984244494,Inland
US1NJBT0022,105.47016310974523,Rural
US1NJBT0023,108.77453306119449,Inland
US1NJBT0025,107.88623138645622,Rural
US1NJBT0027,114.19145243566744,Inland
US1NJBT0028,116.55788155900373,Rural
US1NJBT0029,110.3800903218476,Rural
US1NJBT0032,114.91223346310736,Rural
US1NJBT0035,107.6689972365802,Rural
US1NJBT0036,115.36318515022356,Rural
US1NJBT0037,107.68053740057314,Inland
US1NJBT0040,107.09802279633155,Rural
US1NJBT0041,113.48352286276906,Inland
US1NJBT0045,100.99472420069056,Rural
US1NJBT0050,99.61793028401996,Rural
US1NJBT0052,102.20833015796752,Rural
US1NJCN0001,121.62906267653284,Inland
US1NJCN0005,137.30277747597918,Rural
US1NJCN0011,126.87956453558473,Inland
US1NJCN0015,129.92506574983614,Inland
US1NJCN0017,129.41702634898076,Inland
US1NJCN0019,129.06270777250114,Inland
US1NJCN0020,132.1767449932108,Inland
US1NJES0010,25.478004430046166,Coastal
US1NJES0011,25.7997907243125,Coastal
US1NJES0015,24.239655794654794,Coastal
US1NJES0018,22.041006232241187,Coastal
US1NJES0019,29.468856345194588,Coastal
US1NJES0020,18.48035111761953,Coastal
US1NJES0021,25.841779776290476,Coastal
US1NJGL0001,134.73375711065484,Inland
US1NJGL0006,135.43587379947783,Rural
US1NJGL0008,133.2310562142443,Rural
US1NJGL0010,127.47732868825744,Inland
US1NJGL0011,121.03323048956052,Rural
US1NJGL0012,138.57706639391884,Inland
US1NJGL0015,139.16102156548993,Rural
US1NJGL0017,133.32140922149924,Inland
US1NJGL0019,135.8355891262847,Inland
US1NJGL0022,129.32227733312212,Inland
US1NJGL0023,131.14205454262267,Inland
US1NJGL0024,128.7409272122374,Inland
US1NJGL0029,135.56644652301324,Rural
US1NJGL0030,140.21933342353256,Inland
US1NJGL0031,139.33847178521546,Inland
US1NJHD0002,14.374999963334178,Coastal
US1NJHN0001,71.13579552346597,Rural
US1NJHN0002,91.30984419569513,Rural
US1NJHN0003,74.72515582951232,Rural
US1NJHN0004,78.51998988192378,Rural
US1NJHN0005,70.19414513073846,Rural
US1NJHN0007,85.11642446281701,Rural
US1NJHN0008,76.19927482513425,Rural
US1NJHN0009,81.05952223342223,Rural
US1NJHN0010,72.04593871409742,Rural
US1NJHN0011,64.28105753194346,Rural
US1NJHN0012,93.46626349148815,Rural
US1NJHN0015,75.22836490497555,Rural
US1NJHN0018,72.30850998296614,Rural
US1NJHN0019,74.2105998154097,Rural
US1NJHN0021,70.75011468728303,Rural
US1NJHN0022,89.70851477119115,Rural
US1NJHN0025,69.87009666507082,Rural
US1NJHN0026,86.5853462951618,Rural
US1NJHN0027,87.55253700318306,Rural
US1NJHN0029,67.93275360571937,Rural
US1NJHN0031,91.01003524563248,Rural
US1NJHN0032,83.37340966050081,Rural
US1NJMC0001,77.89220273447918,Rural
US1NJMC0002,75.79766541888594,Rural
US1NJMC0003,68.5613631109137,Rural
US1NJMC0005,75.03706600581393,Rural
US1NJMC0008,83.3029980495863,Rural
US1NJMC0009,78.00595926873176,Rural
US1NJMC0011,82.34554125183152,Rural
US1NJMC0015,77.89967281093494,Rural
US1NJMC0016,75.62511840202644,Rural
US1NJMC0021,80.56512666421804,Rural
US1NJMC0022,77.02648249129997,Rural
US1NJMC0027,79.33212252948164,Rural
US1NJMC0029,81.83296632062124,Rural
US1NJMC0030,77.71999902872574,Rural
US1NJMC0050,83.09481427093249,Rural
US1NJMD0002,51.306286972452774,Rural
US1NJMD0006,63.031055248742625,Rural
US1NJMD0009,58.17210985003282,Rural
US1NJMD0015,54.948480595610164,Rural
US1NJMD0023,36.44768257487139,Coastal
