ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score,Event,Period
US1NJBG0031,40.9628,-73.96,DEMAREST 0.6 NNW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBG0033,40.8536,-74.0943,WOOD RIDGE 0.6 NNW,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0003,40.0786,-74.8209,BURLINGTON 1.7 E,12,1,8.33,0.0,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJBT0004,39.9684,-74.8648,MOUNT LAUREL TWP 2.5 ENE,12,0,0.0,0.15606513659271268,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0005,39.8315,-74.8083,MEDFORD TWP 2.4 SSE,12,0,0.0,5.520292005412539,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0006,39.9716,-74.9343,MOORESTOWN TWP 0.6 SE,12,0,0.0,0.0,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJBT0007,40.1146,-74.6393,CHESTERFIELD TWP 0.4 ESE,12,2,16.67,6.464275183117036,Coastal,10,0,0.0,False,8.34,Sandy,Before
US1NJBT0010,39.9164,-74.5788,PEMBERTON TWP 3.0 SSE,12,7,58.33,7.658138945214062,Coastal,5,0,0.0,True,29.16,Sandy,Before
US1NJBT0011,40.0672,-74.8223,BURLINGTON TWP 0.9 ENE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBT0018,39.8596,-74.8537,MEDFORD TWP 1.7 W,12,0,0.0,1.3240276016315857,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0019,39.9368,-74.9084,MOUNT LAUREL TWP 0.8 SSW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBT0022,39.9407,-74.7456,SOUTHAMPTON TWP 2.4 NW,12,7,58.33,6.329588122159794,Coastal,5,0,0.0,True,29.16,Sandy,Before
US1NJBT0023,40.0085,-74.908,MOORESTOWN TWP 2.7 NE,12,5,41.67,0.0,Coastal,7,1,14.29,True,27.98,Sandy,Before
US1NJBT0025,39.821,-74.5383,WOODLAND TWP 1.8 SW,12,0,0.0,22.03073918346565,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0027,39.9448,-74.9128,MOUNT LAUREL TWP 0.5 WSW,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0028,39.8572,-74.817,MEDFORD LAKES 0.6 W,12,0,0.0,1.7328479530121208,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJBT0029,39.854,-74.6807,TABERNACLE TWP 2.7 NNW,12,0,0.0,14.927659193116678,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0032,39.8378,-74.7467,TABERNACLE TWP 5.0 WNW,12,0,0.0,8.714517572814948,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJBT0035,39.9321,-74.7736,SOUTHAMPTON TWP 3.2 WNW,12,0,0.0,5.292706710072398,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBT0036,39.8594,-74.7971,MEDFORD LAKES 0.4 ENE,12,8,66.67,2.3129570329149827,Coastal,4,0,0.0,True,33.34,Sandy,Before
