ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region
US1NJCN0011,39.81,-74.9357,BERLIN TWP 0.6 WNW,12,0,0.0,22.909559355416544,Coastal
US1NJCN0015,39.8315,-75.0244,STRATFORD 0.5 WNW,12,1,8.33,13.65854068381394,Coastal
US1NJES0010,40.8255,-74.2531,VERONA TWP 0.7 SW,12,12,100.0,22.257169835023443,Coastal
US1NJES0011,40.8648,-74.2157,CEDAR GROVE TWP 0.9 NE,12,12,100.0,24.468819122336257,Coastal
US1NJGL0001,39.7332,-75.1331,PITMAN 0.1 W,12,0,0.0,20.450935452906926,Coastal
US1NJGL0004,39.7609,-75.1397,MANTUA TWP 1.5 E,12,12,100.0,16.47706813371027,Coastal
US1NJGL0006,39.5936,-75.0692,FRANKLIN TWP 2.7 W,12,0,0.0,41.566556204199614,Coastal
US1NJGL0007,39.7678,-75.0685,WASHINGTON TWP 1.5 N,12,12,100.0,17.660972478508327,Coastal
US1NJGL0008,39.6465,-75.1141,ELK TWP 2.5 ESE,12,12,100.0,32.73107726507457,Coastal
US1NJGL0010,39.7555,-75.236,MULLICA HILL 1.3 NNW,12,12,100.0,14.009794508532021,Coastal
US1NJGL0011,39.6991,-75.2876,WOOLWICH TWP 3.2 SSE,12,0,0.0,19.785429757679545,Coastal
US1NJGL0012,39.7739,-75.0925,WASHINGTON TWP 2.1 NNW,12,7,58.33,15.72889592927454,Coastal
US1NJGL0015,39.6916,-75.0596,MONROE TWP 5.1 WNW,12,12,100.0,28.172189016619225,Coastal
US1NJGL0017,39.7111,-75.1402,GLASSBORO 1.6 WNW,12,12,100.0,23.015392090035416,Coastal
US1NJGL0022,39.8009,-75.2387,EAST GREENWICH TWP 0.7 N,12,12,100.0,7.4342355843712085,Coastal
US1NJGL0023,39.8111,-75.2214,EAST GREENWICH TWP 1.7 NE,12,12,100.0,6.342984194265998,Coastal
US1NJGL0024,39.686,-75.1855,ELK TWP 2.2 NW,12,12,100.0,24.889398018969885,Coastal
US1NJHD0002,40.7729,-74.1409,KEARNY 1.7 NW,12,3,25.0,8.681254311464954,Coastal
US1NJHN0001,40.7261,-74.8433,CALIFON 0.6 NW,12,0,0.0,69.73425268125871,Rural
US1NJHN0002,40.4547,-75.0318,STOCKTON 4.4 NW,12,11,91.67,63.93462002399849,Rural
US1NJHN0003,40.6418,-74.8827,CLINTON 1.6 ENE,12,12,100.0,70.06871792385894,Rural
US1NJHN0004,40.6055,-74.9224,FRANKLIN TWP 2.8 NNE,12,0,0.0,72.95490360931903,Rural
US1NJHN0005,40.5724,-74.8147,READINGTON TWP 2.0 WSW,12,0,0.0,60.235753841062724,Rural
US1NJHN0007,40.66,-75.008,BETHLEHEM TWP 0.6 S,12,7,58.33,84.18847357876716,Rural
US1NJHN0008,40.6727,-74.903,HIGH BRIDGE 0.6 WNW,12,0,0.0,73.68295021910563,Rural
US1NJHN0009,40.5663,-74.9443,FRANKLIN TWP 0.4 W,12,9,75.0,74.3401226046432,Rural
US1NJHN0010,40.5083,-74.8152,FLEMINGTON 2.3 E,12,0,0.0,59.30082247135858,Rural
US1NJHN0011,40.594,-74.749,READINGTON TWP 1.8 ENE,12,1,8.33,53.80718321291938,Rural
US1NJHN0012,40.6317,-75.1045,HOLLAND TWP 2.6 NNE,12,0,0.0,90.30697968186769,Rural
US1NJHN0015,40.5091,-74.8549,FLEMINGTON 0.3 E,12,0,0.0,63.72175741960692,Rural
US1NJHN0018,40.6872,-74.8575,CLINTON TWP 3.9 N,12,6,50.0,69.36146030202873,Rural
US1NJHN0019,40.6064,-74.871,LEBANON 3.2 SW,12,0,0.0,67.41236907991944,Rural
US1NJHN0021,40.6841,-74.8389,LEBANON 2.8 N,12,0,0.0,67.2474731284288,Rural
US1NJHN0022,40.4549,-75.012,KINGWOOD TWP 2.5 S,12,0,0.0,63.97035736891999,Rural
US1NJHN0025,40.6418,-74.8249,LEBANON 0.5 E,12,8,66.67,63.96480204274697,Rural
US1NJHN0026,40.5726,-75.0123,ALEXANDRIA TWP 1.5 SE,12,12,100.0,81.20128228738639,Rural
US1NJHN0027,40.5677,-75.0228,ALEXANDRIA TWP 1.5 SSE,12,12,100.0,80.47351822008048,Rural
US1NJMC0001,40.3295,-74.782,PENNINGTON 0.5 ENE,12,2,16.67,52.96469958407186,Rural
US1NJMC0002,40.2286,-74.6472,HAMILTON TWP 2.3 NE,12,12,100.0,52.06484889538701,Inland
US1NJMC0003,40.3294,-74.6482,WEST WINDSOR TWP 3.0 NNW,12,2,16.67,47.52166577157741,Coastal
US1NJMC0004,40.2242,-74.6443,HAMILTON TWP 2.2 NE,12,12,100.0,51.948654362680465,Inland
US1NJMC0005,40.31,-74.7243,LAWRENCE TWP 1.0 NNW,12,0,0.0,54.22442527584929,Rural
US1NJMC0008,40.324,-74.8523,HOPEWELL TWP 2.8 WSW,12,0,0.0,48.71274410852916,Coastal
US1NJMC0009,40.2707,-74.7295,LAWRENCE TWP 1.8 SSW,12,0,0.0,49.43888178685613,Coastal
US1NJMC0011,40.2519,-74.7751,EWING TWP 1.6 SE,12,0,0.0,44.067301765801815,Coastal
US1NJMC0015,40.2703,-74.7275,LAWRENCE TWP 1.8 SSW,12,12,100.0,49.543006756931575,Coastal
US1NJMC0016,40.2104,-74.6204,ROBBINSVILLE TWP 1.7 WSW,12,0,0.0,53.03475014394545,Rural
US1NJMC0021,40.1918,-74.6786,HAMILTON TWP 0.9 S,12,8,66.67,46.12216778301435,Coastal
US1NJMC0022,40.2733,-74.7175,LAWRENCE TWP 1.6 S,12,0,0.0,50.61326456196093,Inland
US1NJMC0030,40.3046,-74.758,HOPEWELL TWP 3.9 SE,12,12,100.0,51.35720269843923,Inland
US1NJMC0050,40.2413,-74.7755,EWING TWP 2.1 SE,12,12,100.0,42.84612911977818,Coastal
US1NJMD0002,40.447,-74.508,NORTH BRUNSWICK TWP 1.5 W,12,0,0.0,26.140190588358678,Coastal
US1NJMD0006,40.3003,-74.5286,CRANBURY TWP 0.9 SSW,12,11,91.67,38.25472700897601,Coastal
US1NJMD0009,40.4099,-74.573,SOUTH BRUNSWICK TWP 3.1 NW,12,2,16.67,34.75587936383037,Coastal
