ID,Distance_to_Coast_km,Region
US1GALW0013,189.74147478112528,Rural
US1GALW0014,189.50581076640142,Rural
US1GALW0015,193.33969418299318,Rural
US1GALW0016,194.01286424890165,Rural
US1GALW0017,188.2869916763074,Rural
US1GALW0018,189.97118076916544,Rural
US1GALW0019,194.46202385275745,Rural
US1GAMN0002,374.2616593202313,Rural
US1GAMN0010,377.3759268433978,Rural
US1GAMN0015,370.8313238263312,Rural
US1GAMS0004,417.4574269900635,Rural
US1GAMT0002,295.09322427355914,Rural
US1GAMT0005,282.307706725437,Rural
US1GAMT0007,287.8423320887707,Rural
US1GAMT0013,287.81549810725437,Rural
US1GAPE0001,343.3626512654783,Rural
US1GAPE0003,340.32952207309364,Rural
US1GASM0002,336.35054966689006,Rural
US1GASR0005,333.21291110784404,Rural
US1GASY0003,346.09554234396154,Rural
US1GATF0003,238.32364652943554,Rural
US1GATF0007,237.67293714154036,Rural
US1GATG0001,313.17937892021473,Rural
US1GATH0002,249.60604841679384,Rural
US1GATH0004,245.86669622433115,Rural
US1GATH0008,246.57638810703094,Rural
US1GATL0001,322.3660311804321,Rural
US1GATP0001,442.9762912201384,Rural
US1GATP0002,450.63493097748136,Rural
US1GATR0001,261.6817276537232,Rural
US1GATY0001,380.8464505348413,Rural
US1GATY0002,359.76313778397144,Rural
US1GAUP0001,401.04847456754476,Rural
US1GAUP0005,393.25930742986844,Rural
US1GAWT0003,273.7690123990748,Rural
USC00010160,432.3461543127603,Rural
USC00010425,443.5815615078783,Rural
USC00011725,402.66712500989377,Rural
USC00012124,441.0555148430491,Rural
USC00012377,382.4254418702995,Rural
USC00012675,338.9950472244585,Rural
USC00012730,399.3266131430102,Rural
USC00013251,331.91569604170945,Rural
USC00013761,388.94557074556565,Rural
USC00013818,336.6728360570147,Rural
USC00013931,352.93248812246946,Rural
USC00014080,425.8502525076916,Rural
USC00014502,466.7988576535479,Rural
USC00015172,380.8083189061899,Rural
USC00015397,409.1482435586548,Rural
USC00015553,364.4619664576948,Rural
USC00016129,448.70605834661836,Rural
USC00017020,412.7066034928455,Rural
USC00017326,428.8449220210345,Rural
USC00018038,378.2325382385079,Rural
USC00018323,355.7691569315026,Rural
USC00018653,419.2976084083871,Rural
USC00018859,392.0614906980951,Rural
USC00080211,318.61535519805705,Rural
USC00081544,355.5995127485812,Rural
USC00082008,180.22159299707533,Rural
USC00082391,178.64342429558766,Rural
USC00085377,351.1009805813393,Rural
USC00085539,172.39555469467652,Rural
USC00085880,248.55873875764084,Inland
USC00086240,262.3294867677121,Rural
USC00086842,340.09211183683203,Rural
USC00087025,209.8968966745504,Rural
USC00087429,307.894797644485,Rural
USC00087869,270.34501945133184,Inland
USC00088756,283.82697345852114,Inland
USC00089566,360.37328385447006,Rural
USC00089795,336.0969670611522,Rural
USC00090140,295.9423227482241,Rural
USC00090253,332.1846339985352,Rural
USC00091372,371.74047002072336,Rural
USC00091463,277.0360442156142,Rural
USC00091500,283.3976642101766,Rural
USC00092159,416.55153475357554,Rural
USC00092266,293.5496604996563,Rural
USC00092361,296.7700912312032,Rural
USC00092450,362.0961505098388,Rural
USC00092593,318.6716528245464,Rural
USC00092738,343.5968349808178,Rural
USC00092966,272.2331949273062,Rural
USC00093658,389.16292285460037,Rural
USC00094170,297.72269567120117,Rural
USC00095061,311.40667925130657,Rural
USC00095979,338.2463811764228,Rural
USC00096087,244.49815829772356,Rural
USC00096148,432.9264764042586,Rural
USC00097087,342.9374116571138,Rural
USC00098535,397.4152785241052,Rural
USC00098657,399.41413435393565,Rural
USC00098661,393.83158902179093,Rural
USC00098703,235.62684128120472,Rural
USC00099124,331.85587608539043,Rural
USC00099291,459.43047578820324,Rural
USC00099506,424.64575617455154,Rural
USW00003813,340.85510374326174,Rural
USW00003818,367.11386075270906,Rural
USW00003878,355.4158714013053,Rural
USW00003892,447.1112438472527,Rural
USW00012832,318.99255601223786,Rural
USW00012833,180.22159299707533,Rural
USW00013829,410.9190668133251,Rural
USW00013839,379.84601631006205,Rural
USW00013869,300.0373401449676,Rural
USW00013895,353.4968894312102,Rural
USW00023801,352.5010433603201,Rural
USW00053843,295.30702206820035,Rural
USW00053853,263.2156632286974,Rural
USW00063828,314.12419124776784,Rural
USW00063829,307.5558664839923,Rural
USW00063870,291.8610207186083,Rural
USW00063871,351.74115733346457,Rural
USW00063872,399.79138991379284,Rural
USW00073802,334.79071993451873,Rural
USW00073805,328.0307131593849,Rural
USW00093805,281.2508882214086,Inland
USW00093842,416.7787247335794,Rural
USW00093845,187.11741795935131,Rural
