event,isd_station,matched_ghcnd_station,distance_km,guessed_at_risk,max_risk_score,actual_missing_pct,actually_failed
Ian,723104-53867,USW00053867,0.014445745106580036,True,0.4276157800038404,0.0,False
Ian,723105-03858,US1SCRC0144,4.8689924908704025,True,0.48327120810061397,45.45,False
Ian,723115-53854,USW00053854,0.029968015204830785,True,0.29599498941913055,0.0,False
Ian,747560-12816,USW00012816,0.03472887103427328,True,0.27309881468741376,0.0,False
Ian,747804-13824,US1GACT0060,2.84010634643113,True,0.39730146608795264,0.0,False
Ian,747810-13857,US1GALW0024,4.655226326628624,True,0.2237745061008913,9.09,False
Ian,747820-53860,USW00053860,0.022182090027634188,True,0.3144778149079826,0.0,False
Ian,747830-12849,USW00012849,0.022861241441635607,True,0.21747570628916293,0.0,False
Ian,747880-12810,US1FLHB0010,4.82106950538993,True,0.17763164040664697,0.0,False
Ian,747900-13849,US1SCSM0026,4.738121816742535,True,0.4321676830530066,27.27,False
Ian,747910-13717,USW00013717,0.04339704821494784,True,0.3163423200255992,100.0,True
Ian,747915-93718,USW00093718,0.05653465679396174,True,0.2919839931585954,0.0,False
Ian,747930-12843,USW00012843,0.03874032430964827,True,0.21303455997506063,0.0,False
Ian,747931-12876,USW00012876,0.045547470191049357,True,0.22857163616972756,9.09,False
Ian,747940-12868,US1FLBV0012,11.256029365761798,True,0.3864080749506526,9.09,False
Ian,747946-12886,USW00092821,0.9658591085876577,True,0.3427561828023029,0.0,False
Ian,747950-12867,US1FLBV0092,3.1712357366637702,True,0.3288527599175555,63.64,True
Ian,994008-99999,US1FLPN0115,3.981848021874819,True,0.23128483417590656,36.36,False
Ian,994050-99999,US1FLPB0095,1.8230351390436603,True,0.26287073344068507,100.0,True
Ian,994082-99999,US1FLHN0026,7.890680708303047,True,0.2660670323860738,9.09,False
Ian,994220-99999,USC00089176,3.6592683603402607,True,0.24715434901695327,0.0,False
Ian,994230-99999,US1SCCR0253,5.507272534009801,True,0.25821240377499344,54.55,True
Ian,994410-99999,US1FLSJ0020,2.6623256701891154,True,0.17344894601300334,27.27,False
