ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score
US1LARP0009,31.3195,-92.4223,PINEVILLE 1.0 SSW,14,1,7.14,0.0,Coastal,13,2,15.38,False,11.26
US1LASL0001,30.4197,-91.9986,GRAND COTEAU 2.7 E,14,0,0.0,15.132889483618559,Coastal,14,2,14.29,False,7.14
US1LASM0002,30.1221,-91.831,ST. MARTINVILLE 0.2 S,14,0,0.0,11.295788118714167,Coastal,14,4,28.57,True,14.28
US1LAVM0002,29.9814,-92.2741,KAPLAN 1.6 SSE,14,0,0.0,32.3051367013488,Coastal,14,0,0.0,False,0.0
US1LAVM0004,29.9762,-92.1072,ABBEVILLE 1.0 E,14,0,0.0,25.521051619597884,Coastal,14,2,14.29,False,7.14
US1LAWB0002,30.3797,-91.2674,ADDIS 1.7 N,14,0,0.0,1.576400813971848,Coastal,14,3,21.43,True,10.72
US1LAWF0004,30.8928,-91.3641,WAKEFIELD 0.9 WNW,14,0,0.0,44.966423364291224,Coastal,14,5,35.71,True,17.86
US1LAWF0005,30.9799,-91.3573,ASHWOOD 5.7 SW,14,14,100.0,55.447174997039916,Rural,0,0,0.0,True,50.0
US1MSAD0001,31.4213,-91.3985,NATCHEZ 8.8 S,14,10,71.43,16.41451243879389,Coastal,4,2,50.0,True,60.72
US1MSAD0004,31.4845,-91.2526,NATCHEZ 9.1 ESE,14,6,42.86,16.505985739388475,Coastal,8,3,37.5,True,40.18
US1TXAG0001,31.3213,-94.8445,LUFKIN 7.0 W,14,1,7.14,5.840977354433331,Coastal,13,2,15.38,False,11.26
US1TXAG0002,31.1464,-94.3856,ZAVALLA 2.0 ESE,14,0,0.0,40.48011232193804,Coastal,14,3,21.43,True,10.72
US1TXAG0003,31.3034,-94.7627,LUFKIN 3.0 SW,14,0,0.0,0.5386166408766673,Coastal,14,1,7.14,False,3.57
US1TXAG0005,31.3212,-94.7211,LUFKIN 0.9 SSE,14,5,35.71,0.0,Coastal,9,0,0.0,True,17.86
US1TXAG0006,31.3627,-94.8074,LUFKIN 5.2 WNW,14,0,0.0,1.544127219497293,Coastal,14,1,7.14,False,3.57
US1TXAG0009,31.298,-94.8473,LUFKIN 7.6 WSW,14,1,7.14,6.964176768286721,Coastal,13,0,0.0,False,3.57
US1TXAG0010,31.3283,-94.7815,HUDSON 0.9 E,14,13,92.86,0.0,Coastal,1,1,100.0,True,96.43
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE,14,10,71.43,79.07994689899645,Rural,4,0,0.0,True,35.72
US1TXAS0003,29.881,-96.331,CAT SPRING 3.8 N,14,0,0.0,61.499027176172824,Rural,14,0,0.0,False,0.0
US1TXAS0004,29.9515,-96.2544,BELLVILLE 0.4 NE,14,2,14.29,55.76709725288438,Rural,12,0,0.0,False,7.14
US1TXAS0005,29.7757,-96.1581,SEALY 0.3 WNW,14,0,0.0,41.269790498642195,Coastal,14,0,0.0,False,0.0
US1TXAS0006,29.8029,-96.1211,SAN FELIPE 1.0 WNW,14,0,0.0,37.11160869036511,Coastal,14,0,0.0,False,0.0
US1TXAS0007,29.7967,-96.1394,SEALY 1.9 NNE,14,0,0.0,39.13024941915333,Coastal,14,0,0.0,False,0.0
US1TXAS0012,29.8662,-96.3264,CAT SPRING 1.4 N,14,10,71.43,60.67320670174591,Rural,4,0,0.0,True,35.72
US1TXAS0014,29.9082,-96.139,BELLVILLE 7.6 ESE,14,14,100.0,41.78023121902255,Coastal,0,0,0.0,True,50.0
US1TXAS0015,30.0341,-96.2209,BELLVILLE 6.5 NNE,14,2,14.29,57.261331469229376,Rural,12,0,0.0,False,7.14
US1TXAS0017,29.6411,-96.051,WALLIS 1.1 NE,14,3,21.43,25.183670131310382,Coastal,11,1,9.09,False,15.26
US1TXAS0018,29.9508,-96.2452,BELLVILLE 0.9 ENE,14,4,28.57,54.78140985528768,Rural,10,0,0.0,False,14.28
US1TXBRZ018,29.4176,-95.2673,ALVIN 1.6 SW,14,7,50.0,13.512231577153845,Coastal,7,0,0.0,True,25.0
US1TXBRZ020,29.0296,-95.451,LAKE JACKSON 0.9 SSW,14,0,0.0,0.0,Coastal,14,4,28.57,True,14.28
US1TXBRZ021,29.1696,-95.4068,ANGLETON 1.3 E,14,0,0.0,0.8829721777366945,Coastal,14,4,28.57,True,14.28
US1TXBRZ025,29.5478,-95.3485,PEARLAND 4.4 W,14,0,0.0,5.36364580166644,Coastal,14,2,14.29,False,7.14
US1TXBRZ027,29.0269,-95.4337,LAKE JACKSON 1.3 SE,14,13,92.86,0.0,Coastal,1,1,100.0,True,96.43
US1TXBRZ032,29.043,-95.4202,LAKE JACKSON 1.6 E,14,0,0.0,0.0,Coastal,14,4,28.57,True,14.28
US1TXBRZ036,29.5483,-95.3984,PEARLAND 7.4 W,14,14,100.0,6.86829074182162,Coastal,0,0,0.0,True,50.0
US1TXBZS040,30.6277,-96.2089,COLLEGE STATION 6.4 ENE,14,8,57.14,3.990308978033401,Coastal,6,1,16.67,True,36.9
US1TXBZS075,30.6014,-96.3145,COLLEGE STATION 0.1 WNW,14,11,78.57,0.0,Coastal,3,0,0.0,True,39.28
US1TXBZS077,30.647,-96.3237,BRYAN 2.9 ESE,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXBZS088,30.7138,-96.3902,BRYAN 3.5 NNW,14,3,21.43,0.0,Coastal,11,2,18.18,False,19.8
US1TXBZS092,30.5774,-96.3146,COLLEGE STATION 1.6 S,14,13,92.86,0.7755753670927706,Coastal,1,0,0.0,True,46.43
US1TXBZS096,30.6042,-96.3284,COLLEGE STATION 1.0 WNW,14,0,0.0,0.0,Coastal,14,4,28.57,True,14.28
US1TXBZS097,30.624,-96.3199,COLLEGE STATION 1.7 NNW,14,7,50.0,0.0,Coastal,7,1,14.29,True,32.14
US1TXBZS098,30.7714,-96.3734,BRYAN 7.1 N,14,9,64.29,7.090478584310423,Coastal,5,1,20.0,True,42.14
US1TXBZS099,30.6216,-96.399,BRYAN 3.8 SSW,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1TXBZS100,30.5595,-96.3711,COLLEGE STATION 4.5 SW,14,0,0.0,5.322129371893312,Coastal,14,3,21.43,True,10.72
US1TXBZS102,30.6338,-96.351,BRYAN 2.5 SSE,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1TXBZS103,30.5994,-96.3257,COLLEGE STATION 0.8 W,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1TXBZS104,30.5728,-96.3002,COLLEGE STATION 2.0 SSE,14,9,64.29,1.2438374712945224,Coastal,5,1,20.0,True,42.14
US1TXCHM008,29.8722,-94.8893,MONT BELVIEU 1.5 NNW,14,4,28.57,0.0,Coastal,10,0,0.0,False,14.28
US1TXCLR003,29.456,-96.4049,GARWOOD 0.7 NW,14,14,100.0,63.899101269978715,Rural,0,0,0.0,True,50.0
US1TXCLR006,29.7891,-96.477,NEW ULM 7.2 S,14,0,0.0,76.2591903548563,Rural,14,0,0.0,False,0.0
US1TXCLR010,29.8188,-96.478,NEW ULM 5.1 S,14,5,35.71,76.89092383589094,Rural,9,1,11.11,True,23.41
US1TXFB0005,29.6143,-95.634,SUGAR LAND 1.1 WSW,14,0,0.0,0.0,Coastal,14,1,7.14,False,3.57
US1TXFB0012,29.6166,-95.6332,SUGAR LAND 1.0 W,14,1,7.14,0.0,Coastal,13,0,0.0,False,3.57
US1TXFB0017,29.6176,-95.7268,RICHMOND 3.4 NE,14,2,14.29,2.318496363478095,Coastal,12,1,8.33,False,11.31
US1TXFB0018,29.612,-95.7318,RICHMOND 2.9 NE,14,1,7.14,2.028394654770252,Coastal,13,1,7.69,False,7.42
US1TXFB0022,29.5261,-95.7221,RICHMOND 4.6 SE,14,2,14.29,6.4711955115963375,Coastal,12,0,0.0,False,7.14
US1TXFB0025,29.6388,-95.6269,SUGAR LAND 1.5 NNW,14,12,85.71,0.0,Coastal,2,0,0.0,True,42.86
US1TXFB0027,29.5828,-95.6294,SUGAR LAND 2.6 SSW,14,6,42.86,0.0,Coastal,8,0,0.0,True,21.43
US1TXFB0028,29.4702,-95.4934,MISSOURI CITY 7.5 SSE,14,13,92.86,12.756156112713878,Coastal,1,0,0.0,True,46.43
US1TXFB0030,29.7018,-95.8007,KATY 6.8 SSE,14,14,100.0,9.012896863091392,Coastal,0,0,0.0,True,50.0
US1TXFB0032,29.7074,-95.9397,FULSHEAR 2.7 WNW,14,5,35.71,18.622088162914658,Coastal,9,0,0.0,True,17.86
US1TXFB0040,29.5681,-95.6399,SUGAR LAND 3.8 SSW,14,14,100.0,0.8195511456499454,Coastal,0,0,0.0,True,50.0
US1TXFB0042,29.557,-95.74,RICHMOND 2.3 SE,14,9,64.29,2.2260526855067453,Coastal,5,0,0.0,True,32.15
US1TXFB0051,29.6408,-95.739,RICHMOND 4.4 NNE,14,3,21.43,2.395673531365994,Coastal,11,0,0.0,False,10.72
US1TXFB0053,29.7087,-95.7576,KATY 7.3 SSE,14,5,35.71,5.4842696325625715,Coastal,9,2,22.22,True,28.96
US1TXFB0054,29.5037,-95.5038,MISSOURI CITY 5.1 SSE,14,14,100.0,8.436765178967947,Coastal,0,0,0.0,True,50.0
US1TXGM0007,30.6348,-96.1423,IOLA 10.4 SSW,14,0,0.0,10.17959867283071,Coastal,14,2,14.29,False,7.14
US1TXGV0005,29.4867,-95.2072,FRIENDSWOOD 1.9 SSW,14,4,28.57,3.8413646467560163,Coastal,10,0,0.0,False,14.28
US1TXGV0006,29.323,-94.9349,BAYOU VISTA 0.2 SE,14,14,100.0,2.7361837590888514,Coastal,0,0,0.0,True,50.0
US1TXGV0009,29.4555,-95.0889,DICKINSON 1.4 W,14,12,85.71,0.0,Coastal,2,0,0.0,True,42.86
US1TXGV0015,29.5057,-95.1242,LEAGUE CITY 1.7 NW,14,13,92.86,0.0,Coastal,1,0,0.0,True,46.43
US1TXGV0016,29.4808,-95.138,LEAGUE CITY 1.9 W,14,14,100.0,2.1446992460433876,Coastal,0,0,0.0,True,50.0
US1TXGV0017,29.406,-94.9341,TEXAS CITY 1.5 E,14,6,42.86,0.0,Coastal,8,1,12.5,True,27.68
US1TXGV0018,29.2824,-94.805,GALVESTON 6.4 NE,14,7,50.0,0.0,Coastal,7,1,14.29,True,32.14
US1TXGV0022,29.511,-95.0898,LEAGUE CITY 2.1 NNE,14,7,50.0,0.0,Coastal,7,0,0.0,True,25.0
US1TXGV0028,29.5037,-95.1023,LEAGUE CITY 1.3 NNE,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXGV0029,29.5303,-95.0236,KEMAH 0.2 WNW,14,4,28.57,0.7681983863927664,Coastal,10,1,10.0,False,19.28
US1TXGV0033,29.4147,-95.1159,SANTA FE 2.5 NNW,14,14,100.0,4.736311420107724,Coastal,0,0,0.0,True,50.0
US1TXGV0034,29.5407,-95.0698,LEAGUE CITY 2.7 NE,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1TXGV0041,29.4498,-95.0927,LEAGUE CITY 2.6 SSE,14,14,100.0,0.49196573880570277,Coastal,0,0,0.0,True,50.0
US1TXGV0043,29.4765,-94.5803,CRYSTAL BEACH 3.7 ENE,14,10,71.43,24.348637482512444,Coastal,4,0,0.0,True,35.72
US1TXGV0044,29.5014,-94.9898,BACLIFF 0.5 SSE,14,0,0.0,5.932951089258403,Coastal,14,1,7.14,False,3.57
US1TXGV0046,29.5231,-95.0382,LEAGUE CITY 3.6 ENE,14,0,0.0,0.6320057571616109,Coastal,14,0,0.0,False,0.0
US1TXGV0049,29.334,-94.9399,LA MARQUE 3.9 SE,14,0,0.0,1.2254022879389728,Coastal,14,0,0.0,False,0.0
US1TXGV0051,29.3633,-94.9644,LA MARQUE 1.8 E,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1TXGV0052,29.478,-95.1648,LEAGUE CITY 3.5 W,14,7,50.0,3.5447630683683773,Coastal,7,3,42.86,True,46.43
US1TXGV0054,29.3017,-94.7809,GALVESTON 8.4 NE,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1TXGV0060,29.3716,-95.099,SANTA FE 0.7 S,14,0,0.0,7.262132436183277,Coastal,14,2,14.29,False,7.14
US1TXGV0061,29.2067,-94.9465,GALVESTON 3.6 WSW,14,13,92.86,6.519126472596429,Coastal,1,0,0.0,True,46.43
US1TXGV0062,29.2767,-94.817,GALVESTON 5.6 NE,14,12,85.71,0.0,Coastal,2,0,0.0,True,42.86
US1TXGV0063,29.5001,-95.1873,FRIENDSWOOD 1.0 SE,14,4,28.57,2.8798822364609404,Coastal,10,0,0.0,False,14.28
US1TXGV0064,29.338,-95.0261,HITCHCOCK 1.6 NNW,14,0,0.0,4.1025265327168,Coastal,14,1,7.14,False,3.57
US1TXGV0065,29.2189,-94.9337,GALVESTON 2.6 WSW,14,9,64.29,4.713698078066487,Coastal,5,1,20.0,True,42.14
US1TXGV0066,29.3457,-95.0926,SANTA FE 2.5 S,14,12,85.71,8.584795507853203,Coastal,2,0,0.0,True,42.86
US1TXGV0068,29.4612,-95.0643,DICKINSON 0.5 NNE,14,10,71.43,0.0,Coastal,4,0,0.0,True,35.72
US1TXGV0069,29.4904,-95.1207,LEAGUE CITY 0.9 WNW,14,0,0.0,0.3603256886552178,Coastal,14,1,7.14,False,3.57
US1TXGV0070,29.4052,-94.8944,TEXAS CITY 3.8 E,14,0,0.0,0.0,Coastal,14,1,7.14,False,3.57
US1TXGV0071,29.4095,-95.0314,TEXAS CITY 4.4 W,14,1,7.14,0.0,Coastal,13,1,7.69,False,7.42
US1TXGV0073,29.3014,-94.7817,GALVESTON 8.3 NE,14,7,50.0,0.0,Coastal,7,2,28.57,True,39.28
US1TXGV0083,29.4669,-94.6037,CRYSTAL  BEACH 2.1 ENE,14,14,100.0,21.739472097708873,Coastal,0,0,0.0,True,50.0
US1TXHRN001,30.272,-94.2201,LUMBERTON 1.2 WNW,14,4,28.57,13.059783513878589,Coastal,10,2,20.0,True,24.28
US1TXHRN002,30.2179,-94.3287,KOUNTZE 10.6 SSW,14,14,100.0,17.062948613591846,Coastal,0,0,0.0,True,50.0
US1TXHRN005,30.3723,-94.3159,KOUNTZE 0.0 WSW,14,3,21.43,25.53849623191373,Coastal,11,2,18.18,False,19.8
US1TXHRN006,30.357,-94.3161,KOUNTZE 1.1 S,14,2,14.29,25.40042155377931,Coastal,12,1,8.33,False,11.31
US1TXHRN007,30.3166,-94.351,KOUNTZE 4.4 SSW,14,14,100.0,26.923586790536415,Coastal,0,0,0.0,True,50.0
US1TXHRR004,29.7129,-95.6688,MISSION BEND 1.4 N,14,8,57.14,0.0,Coastal,6,0,0.0,True,28.57
US1TXHRR015,30.0022,-95.196,KINGWOOD 3.9 S,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR024,29.5743,-95.0633,TAYLOR LAKE VILLAGE 0.5 W,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR027,29.8138,-95.5505,BUNKER HILL VILLAGE 3.6 NNW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR028,29.5371,-95.1215,WEBSTER 0.4 NW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR031,29.5453,-95.1821,FRIENDSWOOD 2.5 NNE,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1TXHRR032,29.6077,-95.2561,SOUTH HOUSTON 4.0 SSW,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1TXHRR033,30.0553,-95.1564,KINGWOOD 1.8 E,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR043,30.0803,-95.7178,TOMBALL 6.2 W,14,13,92.86,7.64164237379609,Coastal,1,0,0.0,True,46.43
US1TXHRR052,29.567,-95.0982,NASSAU BAY 1.6 NNW,14,4,28.57,0.0,Coastal,10,0,0.0,False,14.28
US1TXHRR058,29.8133,-95.5389,SPRING VALLEY 2.7 NW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR074,29.9564,-95.6463,CYPRESS 3.2 ESE,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR076,29.6471,-95.1895,PASADENA 2.4 WSW,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR084,29.6339,-95.1881,PASADENA 2.8 SW,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR086,29.775,-94.9253,BAYTOWN 3.2 NE,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR089,29.5289,-95.1852,FRIENDSWOOD 1.4 NNE,14,4,28.57,0.0,Coastal,10,0,0.0,False,14.28
US1TXHRR093,29.6849,-95.2197,PASADENA 4.4 WNW,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1TXHRR095,29.5993,-95.1161,TAYLOR LAKE VILLAGE 4.1 WNW,14,8,57.14,0.0,Coastal,6,1,16.67,True,36.9
US1TXHRR114,30.0212,-95.8043,HOCKLEY 2.5 ESE,14,13,92.86,15.328664065638645,Coastal,1,0,0.0,True,46.43
US1TXHRR116,29.8121,-95.8177,KATY 1.0 NNE,14,2,14.29,4.096871090377337,Coastal,12,1,8.33,False,11.31
US1TXHRR117,30.1135,-95.5748,TOMBALL 2.7 ENE,14,0,0.0,2.794857533406817,Coastal,14,0,0.0,False,0.0
US1TXHRR119,29.718,-95.4369,WEST UNIVERSITY PLACE 0.4 WNW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR122,29.7054,-95.6652,MISSION BEND 0.8 N,14,0,0.0,0.0,Coastal,14,1,7.14,False,3.57
US1TXHRR124,30.0075,-95.4846,SPRING 7.1 WSW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR139,29.7851,-95.2015,CLOVERLEAF 1.7 W,14,1,7.14,0.0,Coastal,13,1,7.69,False,7.42
US1TXHRR147,29.6172,-95.2341,SOUTH HOUSTON 3.0 S,14,5,35.71,0.0,Coastal,9,1,11.11,True,23.41
US1TXHRR150,30.0651,-95.1997,KINGWOOD 0.9 WNW,14,8,57.14,0.0,Coastal,6,0,0.0,True,28.57
US1TXHRR159,29.9316,-95.5665,JERSEY VILLAGE 3.0 N,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR162,29.6954,-95.53,BELLAIRE 4.2 W,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR164,29.9326,-95.6258,JERSEY VILLAGE 4.6 NW,14,5,35.71,0.0,Coastal,9,0,0.0,True,17.86
US1TXHRR165,29.7858,-95.3735,HOUSTON 1.4 NE,14,3,21.43,0.0,Coastal,11,0,0.0,False,10.72
US1TXHRR168,29.5761,-95.214,PEARLAND 4.0 ENE,14,0,0.0,0.0,Coastal,14,1,7.14,False,3.57
US1TXHRR170,29.5308,-95.181,FRIENDSWOOD 1.6 NE,14,1,7.14,0.0,Coastal,13,1,7.69,False,7.42
US1TXHRR176,29.8054,-95.4529,HOUSTON 4.7 WNW,14,3,21.43,0.0,Coastal,11,0,0.0,False,10.72
US1TXHRR195,30.0203,-95.1539,HUMBLE 6.9 ENE,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR203,29.7946,-95.5261,HEDWIG VILLAGE 1.1 NNW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR204,29.9172,-95.5617,JERSEY VILLAGE 2.0 NNE,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR209,29.7973,-95.3741,HOUSTON 2.1 NNE,14,0,0.0,0.0,Coastal,14,1,7.14,False,3.57
US1TXHRR217,29.5548,-95.1255,WEBSTER 1.6 NNW,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1TXHRR222,29.766,-95.7086,MISSION BEND 5.7 NNW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR223,29.7668,-95.7061,MISSION BEND 5.6 NNW,14,10,71.43,0.0,Coastal,4,1,25.0,True,48.22
US1TXHRR225,30.0342,-95.6226,TOMBALL 4.3 S,14,13,92.86,0.0,Coastal,1,0,0.0,True,46.43
US1TXHRR228,29.7948,-95.737,KATY 5.2 E,14,0,0.0,0.0,Coastal,14,1,7.14,False,3.57
US1TXHRR232,29.7398,-95.3977,HOUSTON 2.1 SSW,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHRR234,29.6703,-94.9945,MORGAN'S POINT 0.8 ESE,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR236,29.7468,-95.6015,BUNKER HILL VILLAGE 4.4 WSW,14,6,42.86,0.0,Coastal,8,0,0.0,True,21.43
US1TXHRR237,29.5727,-95.1271,WEBSTER 2.8 NNW,14,11,78.57,0.0,Coastal,3,0,0.0,True,39.28
US1TXHRR238,29.5865,-95.1379,WEBSTER 3.9 NNW,14,3,21.43,0.0,Coastal,11,0,0.0,False,10.72
US1TXHRR243,29.9999,-95.5745,TOMBALL 7.2 SSE,14,4,28.57,0.0,Coastal,10,0,0.0,False,14.28
US1TXHRR245,29.5759,-95.1437,WEBSTER 3.4 NNW,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXHRR306,30.0592,-95.2262,KINGWOOD 2.4 W,14,0,0.0,0.0,Coastal,14,0,0.0,False,0.0
US1TXHST003,31.3438,-95.4494,CROCKETT 1.8 NNE,14,0,0.0,54.83187957187361,Rural,14,1,7.14,False,3.57
US1TXJJ0003,29.9747,-93.9578,PORT NECHES 1.0 W,14,11,78.57,0.0,Coastal,3,1,33.33,True,55.95
US1TXJJ0007,30.0725,-94.1692,BEAUMONT 1.8 SW,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXJJ0008,30.0874,-94.1389,BEAUMONT 0.3 E,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1TXJJ0009,30.0527,-94.182,BEAUMONT 3.3 SW,14,1,7.14,0.6190926656535115,Coastal,13,1,7.69,False,7.42
US1TXJJ0010,29.9526,-93.9727,PORT ARTHUR 9.1 NNW,14,9,64.29,0.0,Coastal,5,1,20.0,True,42.14
