ID,LAT,LON,NAME,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score
USC00411048,30.1592,-96.3972,BRENHAM,55.39898852758878,Rural,9,2,22.22,True,22.22
USC00411063,33.2064,-97.7761,BRIDGEPORT,58.48823330197041,Rural,9,1,11.11,False,11.11
USC00411089,31.305,-94.2703,BROADDUS,42.73757928020119,Coastal,9,4,44.44,True,44.44
USC00411215,29.7383,-98.4522,BULVERDE,10.151015836929421,Coastal,9,2,22.22,True,22.22
USC00411246,32.5067,-97.3444,BURLESON,4.019160534475683,Coastal,9,0,0.0,False,0.0
USC00411250,30.7586,-98.2339,BURNET,49.20069712322434,Coastal,9,0,0.0,False,0.0
USC00411253,30.7247,-98.3842,BURNET 9 WSW,62.08018974991748,Rural,9,0,0.0,False,0.0
USC00411314,30.5328,-96.7022,CALDWELL,34.22516426918316,Coastal,9,3,33.33,True,33.33
USC00411337,28.4658,-98.3539,CALLIHAM,71.97768415309532,Rural,9,2,22.22,True,22.22
USC00411348,30.8458,-96.97,CAMERON,32.60216980561493,Coastal,9,2,22.22,True,22.22
USC00411429,29.8608,-98.1958,CANYON DAM,16.030685293361575,Coastal,9,3,33.33,True,33.33
USC00411433,29.9461,-98.3967,CANYON DAM #3,37.49898417141773,Coastal,9,3,33.33,True,33.33
USC00411500,32.1614,-94.3397,CARTHAGE,0.0,Coastal,0,0,0.0,False,0.0
USC00411541,30.0164,-97.4786,CEDAR CREEK 5 S,35.29523225389872,Coastal,9,1,11.11,False,11.11
USC00411578,31.8194,-94.2528,CENTER,3.5973134360182413,Coastal,9,4,44.44,True,44.44
USC00411580,31.4683,-98.4106,CENTER CITY,71.75522945953311,Rural,9,1,11.11,False,11.11
USC00411596,31.2581,-95.9744,CENTERVILLE,33.61330057155486,Coastal,9,4,44.44,True,44.44
USC00411625,32.1561,-97.9369,CHALK MTN,38.73497698446761,Coastal,9,1,11.11,False,11.11
USC00411671,29.3092,-97.4061,CHEAPSIDE,70.808496266037,Rural,9,2,22.22,True,22.22
USC00411711,31.5039,-94.3522,CHIRENO,31.482760830226752,Coastal,9,4,44.44,True,44.44
USC00411720,28.4675,-98.2525,CHOKE CANYON DAM,60.76495377842474,Rural,9,3,33.33,True,33.33
USC00411800,32.3139,-97.4061,CLEBURNE,30.262362120743525,Coastal,9,0,0.0,False,0.0
USC00411804,32.33,-97.3122,CLEBURNE 7SE,27.31818698631413,Coastal,9,1,11.11,False,11.11
USC00411810,30.3636,-95.0839,CLEVELAND,29.154683798511655,Coastal,9,3,33.33,True,33.33
USC00411838,29.7067,-95.6878,CLODINE,0.0,Coastal,9,2,22.22,True,22.22
USC00411880,28.7156,-97.1742,COLETO CREEK RSVR,18.408396462080052,Coastal,9,3,33.33,True,33.33
USC00411911,29.6989,-96.5731,COLUMBUS,83.14957851746401,Rural,9,2,22.22,True,22.22
USC00411921,33.1997,-95.9283,COMMERCE 4SW,17.880268588126437,Coastal,9,0,0.0,False,0.0
USC00411956,30.3303,-95.4831,CONROE,0.0,Coastal,9,2,22.22,True,22.22
USC00411970,33.3744,-95.6933,COOPER,40.1865838689988,Coastal,9,0,0.0,False,0.0
USC00411990,31.1603,-97.9564,COPPERAS COVE 5 NW,18.852990242110053,Coastal,9,0,0.0,False,0.0
USC00412011,27.7792,-97.5056,CORPUS CHRISTI NWS,1.6431314695684833,Coastal,0,0,0.0,False,0.0
USC00412013,27.6606,-97.3983,C C BOTANICAL GARDENS,1.6228403743506694,Coastal,9,3,33.33,True,33.33
USC00412017,31.0033,-94.8161,CORRIGAN 1 ENE,23.68673911357922,Coastal,9,4,44.44,True,44.44
USC00412019,32.1225,-96.4867,CORSICANA,0.0,Coastal,9,1,11.11,False,11.11
USC00412020,32.1183,-96.3256,CORSICANA 8 E,13.376811980512766,Coastal,9,1,11.11,False,11.11
USC00412086,31.7731,-97.8264,CRANFILLS GAP,31.567779443129343,Coastal,9,0,0.0,False,0.0
USC00412088,31.5333,-97.4525,CRAWFORD,20.842739668281514,Coastal,9,1,11.11,False,11.11
USC00412096,32.5225,-97.6478,CRESSON,13.507337999976244,Coastal,9,1,11.11,False,11.11
USC00412114,31.3072,-95.4508,CROCKETT,59.27536307151724,Rural,9,2,22.22,True,22.22
USC00412173,29.0892,-97.3433,CUERO,46.23412561947321,Coastal,9,3,33.33,True,33.33
USC00412206,30.0211,-95.7069,CYPRESS,5.519915214363201,Coastal,9,2,22.22,True,22.22
USC00412218,30.4364,-95.7919,DACUS,30.105241905735888,Coastal,9,2,22.22,True,22.22
USC00412225,32.9203,-94.7225,DAINGERFIELD 9 S,6.731951759471872,Coastal,9,3,33.33,True,33.33
USC00412266,29.0661,-96.2583,DANEVANG 1 W,50.87736823896413,Rural,9,2,22.22,True,22.22
USC00412295,30.8014,-97.2689,DAVILLA 2N,31.428280189087545,Coastal,9,1,11.11,False,11.11
USC00412334,33.2219,-97.5872,DECATUR,46.960979884615696,Coastal,9,1,11.11,False,11.11
USC00412352,33.4797,-94.6175,DEKALB,52.1608497513986,Rural,0,0,0.0,False,0.0
USC00412404,33.1992,-97.105,DENTON 2 SE,0.0,Coastal,9,0,0.0,False,0.0
USC00412444,31.8614,-95.2619,DIALVILLE 2 W,11.043671487485865,Coastal,9,4,44.44,True,44.44
USC00412462,30.3558,-96.8289,DIME BOX,36.82189012287435,Coastal,9,3,33.33,True,33.33
USC00412558,31.6481,-94.8997,DOUGLASS 1 S,22.30875498361981,Coastal,0,0,0.0,False,0.0
USC00412585,30.2194,-97.9878,DRIPPING SPRINGS 6 E,9.111942872350896,Coastal,9,1,11.11,False,11.11
USC00412598,32.0628,-98.3047,DUBLIN 2SE,73.88368082855759,Rural,9,2,22.22,True,22.22
USC00412758,26.2981,-98.1575,EDINBURG,0.0,Coastal,0,0,0.0,False,0.0
USC00412770,29.0622,-96.7714,EDNA 7 NW,32.809832627776416,Coastal,9,4,44.44,True,44.44
USC00412772,32.3656,-95.6089,EDOM,25.108691983138144,Coastal,9,4,44.44,True,44.44
USC00412786,29.2,-96.2653,EL CAMPO,56.40409217275993,Rural,9,3,33.33,True,33.33
USC00412820,30.3642,-97.37,ELGIN 1 N,28.963066585302222,Coastal,9,2,22.22,True,22.22
USC00412902,32.8711,-95.7797,EMORY,47.60844489083587,Coastal,0,0,0.0,False,0.0
USC00413000,30.3333,-94.0833,EVADALE,1.5087399006592273,Coastal,0,0,0.0,False,0.0
USC00413005,31.4625,-98.1619,EVANT 1SSW,44.3512726165052,Coastal,9,0,0.0,False,0.0
USC00413047,31.7322,-96.2078,FAIRFIELD 3W,25.734847065139373,Coastal,9,2,22.22,True,22.22
USC00413063,27.1353,-98.1203,FALFURRIAS,98.32316520403769,Rural,7,3,42.86,True,42.86
USC00413065,28.9614,-98.1103,FALLS CITY 7 WSW,61.665757680181116,Rural,9,3,33.33,True,33.33
USC00413080,33.1414,-96.2933,FARMERSVILLE,16.747897278340943,Coastal,9,0,0.0,False,0.0
USC00413112,30.2758,-97.0192,FEDOR 3SE,36.82177189239934,Coastal,0,0,0.0,False,0.0
USC00413133,32.5339,-96.6608,FERRIS,15.849109188671125,Coastal,9,0,0.0,False,0.0
USC00413156,29.9744,-98.2669,FISCHERS STORE,32.62362095700067,Coastal,9,2,22.22,True,22.22
USC00413171,31.3089,-97.6306,FLAT,17.662073641991487,Coastal,9,1,11.11,False,11.11
USC00413183,29.6339,-97.0644,FLATONIA 4SE,96.18346564205932,Rural,9,3,33.33,True,33.33
USC00413199,30.8394,-97.7928,FLORENCE,22.82094787567074,Coastal,9,1,11.11,False,11.11
USC00413201,29.1333,-98.1628,FLORESVILLE,40.923923568506524,Coastal,9,3,33.33,True,33.33
USC00413247,33.4661,-97.5797,FORESTBURG 5 S,55.63492416338972,Rural,9,0,0.0,False,0.0
USC00413285,32.8342,-97.2981,FT WORTH WSFO,0.0,Coastal,9,0,0.0,False,0.0
USC00413289,32.8472,-97.4761,FT WORTH NATURE CTR,0.32089867647990616,Coastal,0,0,0.0,False,0.0
USC00413321,31.0328,-96.4889,FRANKLIN,42.38222542485077,Coastal,9,1,11.11,False,11.11
USC00413340,28.9844,-95.3808,FREEPORT 2 NW,0.0,Coastal,9,4,44.44,True,44.44
USC00413370,33.1925,-96.7931,FRISCO,10.323921924853272,Coastal,9,0,0.0,False,0.0
USC00413485,31.4144,-97.7019,GATESVILLE,10.227683429263399,Coastal,9,1,11.11,False,11.11
USC00413507,30.6764,-97.7208,GEORGETOWN LAKE,0.7631602942092303,Coastal,9,1,11.11,False,11.11
USC00413508,28.3064,-98.1222,GEORGE W 2 SSW,47.9388321713319,Coastal,9,4,44.44,True,44.44
USC00413525,30.1872,-96.8594,GIDDINGS 5E,52.94388562007584,Rural,9,3,33.33,True,33.33
USC00413546,32.7464,-95.0497,GILMER 4 WNW,31.32492199117479,Coastal,9,3,33.33,True,33.33
USC00413618,28.6617,-97.385,GOLIAD,41.56544592399115,Coastal,9,2,22.22,True,22.22
USC00413620,28.6703,-97.3778,GOLIAD 1 E,40.45072765078804,Coastal,9,2,22.22,True,22.22
USC00413622,29.4744,-97.4481,GONZALES 2S,73.29036385088267,Rural,9,3,33.33,True,33.33
USC00413624,29.4358,-97.5178,GONZALES 10 SW,71.73203015314265,Rural,9,2,22.22,True,22.22
USC00413639,32.5408,-98.3814,GORDON 1SW,44.91945283987111,Coastal,9,3,33.33,True,33.33
USC00413675,32.5217,-97.8069,GRANBURY 5N,4.377154697350528,Coastal,9,1,11.11,False,11.11
USC00413685,30.715,-97.4483,GRANGER,25.7575235416615,Coastal,9,1,11.11,False,11.11
USC00413686,30.7189,-97.3211,GRANGER DAM,29.23994369160342,Coastal,9,2,22.22,True,22.22
USC00413691,32.9506,-97.0553,GRAPEVINE DAM,0.0,Coastal,9,0,0.0,False,0.0
USC00413734,33.1678,-96.0983,GREENVILLE KGVL RADIO,0.28634516435590107,Coastal,9,0,0.0,False,0.0
USC00413776,31.4406,-96.4825,GROESBECK 7SE,36.421436106906235,Coastal,9,1,11.11,False,11.11
USC00413778,31.1964,-95.1461,GROVETON,37.383877958451116,Coastal,0,0,0.0,False,0.0
USC00413846,33.3361,-95.2486,HAGANSPORT,32.88611735226199,Coastal,9,1,11.11,False,11.11
USC00413873,29.4706,-96.9397,HALLETTSVILLE 2 N,75.29637445305505,Rural,9,5,55.56,True,55.56
USC00413877,32.4478,-94.5956,HALLSVILLE 4 S,4.134690978516626,Coastal,9,4,44.44,True,44.44
USC00413884,31.7089,-98.115,HAMILTON,44.92355543108218,Coastal,9,0,0.0,False,0.0
USC00413941,32.6761,-94.5781,HARLETON,15.56181715641338,Coastal,9,3,33.33,True,33.33
USC00413943,26.2028,-97.6728,HARLINGEN,0.0,Coastal,9,4,44.44,True,44.44
USC00414020,32.5781,-95.2033,HAWKINS,22.615200903616095,Coastal,9,3,33.33,True,33.33
USC00414076,31.35,-93.8333,HEMPHILL,52.207613277016534,Rural,0,0,0.0,False,0.0
USC00414077,31.4072,-93.7842,HEMPHILL 6 NE,61.100419644522944,Rural,9,3,33.33,True,33.33
USC00414081,32.1828,-94.7967,HENDERSON,0.0,Coastal,9,4,44.44,True,44.44
USC00414137,31.9844,-98.0311,HICO,63.60362546666706,Rural,9,1,11.11,False,11.11
USC00414182,32.0161,-97.1094,HILLSBORO,48.59713078278662,Coastal,9,1,11.11,False,11.11
USC00414202,32.7275,-95.1925,HOLLY LAKE RCH,41.57099621783162,Coastal,9,2,22.22,True,22.22
USC00414313,29.8142,-95.7275,HOUSTON BARKER,0.0,Coastal,9,3,33.33,True,33.33
USC00414315,29.7283,-95.1306,HOUSTON DEER PARK,0.0,Coastal,9,3,33.33,True,33.33
USC00414321,29.7914,-95.4261,HOUSTON HTS,0.0,Coastal,9,3,33.33,True,33.33
USC00414325,29.7003,-95.4292,HOUSTON-WESTBURY,0.0,Coastal,9,3,33.33,True,33.33
USC00414326,29.7456,-95.28,HOUSTON-PORT,0.0,Coastal,9,3,33.33,True,33.33
USC00414327,29.8733,-95.5275,HOUSTON N HOUSTON,0.0,Coastal,9,3,33.33,True,33.33
USC00414333,29.4717,-95.0833,HOUSTON NWSO,0.0,Coastal,9,4,44.44,True,44.44
USC00414343,32.3389,-98.2972,HUCKABAY,56.66994317839714,Rural,9,1,11.11,False,11.11
USC00414382,30.7064,-95.5422,HUNTSVILLE,0.0,Coastal,9,2,22.22,True,22.22
USC00414390,31.6544,-97.7086,HURST SPRINGS,16.543369115140923,Coastal,9,0,0.0,False,0.0
USC00414505,32.0914,-97.1211,ITASCA 5SSW,48.64426733680883,Coastal,9,1,11.11,False,11.11
USC00414517,33.2064,-98.1689,JACKSBORO,46.865697448552616,Coastal,9,3,33.33,True,33.33
USC00414525,31.9622,-95.2736,JACKSONVILLE,0.0,Coastal,7,2,28.57,True,28.57
USC00414531,29.1967,-94.9883,JAMAICA BEACH,11.329814539759102,Coastal,9,3,33.33,True,33.33
USC00414556,30.8294,-97.6011,JARRELL,20.858915265946163,Coastal,9,1,11.11,False,11.11
USC00414563,30.9153,-94.0097,JASPER,0.0,Coastal,9,3,33.33,True,33.33
USC00414575,29.7664,-97.3164,JEDDO 3S,67.1806870510229,Rural,9,2,22.22,True,22.22
USC00414577,32.7692,-94.3592,JEFFERSON,0.5309359288643769,Coastal,0,0,0.0,False,0.0
USC00414597,32.6406,-96.9747,JOE POOL LAKE,0.0,Coastal,9,0,0.0,False,0.0
USC00414605,30.3,-98.4094,JOHNSON CITY 2N,56.014689179118875,Rural,9,1,11.11,False,11.11
USC00414679,33.0806,-97.2967,JUSTIN,16.835998918562055,Coastal,9,0,0.0,False,0.0
USC00414693,32.6664,-94.1781,KARNACK,20.407203737692768,Coastal,9,3,33.33,True,33.33
USC00414696,28.9069,-97.8756,KARNES CITY 2N,64.36553768600487,Rural,9,3,33.33,True,33.33
USC00414704,29.8025,-95.8197,KATY CITY,3.737123226834927,Coastal,9,2,22.22,True,22.22
USC00414705,32.5589,-96.2725,KAUFMAN 3 SE,40.13617653251362,Coastal,9,0,0.0,False,0.0
USC00414708,32.6139,-96.1394,KAUFMAN 13ENE,49.490200275882735,Coastal,0,0,0.0,False,0.0
USC00414792,31.0658,-97.6919,KILLEEN,2.866445807994136,Coastal,0,0,0.0,False,0.0
USC00414805,29.6833,-97.7672,KINGSBURY,29.71933802591376,Coastal,9,2,22.22,True,22.22
USC00414810,27.5311,-97.8497,KINGSVILLE,40.410558463357816,Coastal,9,5,55.56,True,55.56
USC00414866,32.1347,-97.4786,KOPPERL 5 NNE,50.27274438952716,Rural,9,1,11.11,False,11.11
USC00414878,30.375,-94.2994,KOUNTZE,23.763298463865354,Coastal,9,3,33.33,True,33.33
USC00414903,29.9175,-96.8769,LA GRANGE,85.13491814173902,Rural,9,2,22.22,True,22.22
USC00414911,26.3233,-98.3233,LA JOYA,7.803007439832203,Coastal,9,4,44.44,True,44.44
USC00414972,33.225,-97.8317,LAKE BRIDGEPORT DAM,60.163014304624056,Rural,9,1,11.11,False,11.11
USC00414976,32.8228,-95.5278,LAKE FK RSVR,57.24044123977292,Rural,9,2,22.22,True,22.22
USC00414979,32.6433,-98.3181,LAKE PALO PINTO,29.918516277672456,Coastal,9,2,22.22,True,22.22
USC00414980,32.8522,-95.8864,LAKE TAWAKONI,41.512511197030484,Coastal,9,0,0.0,False,0.0
USC00415018,31.0717,-98.1847,LAMPASAS,44.95978374111257,Coastal,9,0,0.0,False,0.0
USC00415094,33.0353,-96.4861,LAVON DAM,8.861635966157683,Coastal,9,0,0.0,False,0.0
USC00415116,32.3,-98.4028,LEATHERWOOD RCH,69.27020612056158,Rural,0,0,0.0,False,0.0
USC00415192,33.0694,-97.0094,LEWISVILLE DAM,0.0,Coastal,9,0,0.0,False,0.0
USC00415193,30.4064,-97.0133,LEXINGTON,20.388859249688345,Coastal,9,2,22.22,True,22.22
